county,state_name,Location,lat,lng,population
Chesapeake,Virginia,"Chesapeake, Virginia",36.6778,-76.3024,239982
Hinds,Mississippi,"Hinds, Mississippi",32.2667,-90.4428,238797
Arlington,Virginia,"Arlington, Virginia",38.8786,-77.1011,233464
Washington,Arkansas,"Washington, Arkansas",35.9791,-94.2156,232289
Union,North Carolina,"Union, North Carolina",34.9884,-80.5307,231053
Mahoning,Ohio,"Mahoning, Ohio",41.0146,-80.7763,229961
Oneida,New York,"Oneida, New York",43.2417,-75.4359,229959
Lake,Ohio,"Lake, Ohio",41.6966,-81.2373,229954
Warren,Ohio,"Warren, Ohio",39.4276,-84.1668,229132
Saratoga,New York,"Saratoga, New York",43.1074,-73.8639,228502
Forsyth,Georgia,"Forsyth, Georgia",34.2255,-84.125,228383
Yavapai,Arizona,"Yavapai, Arizona",34.5999,-112.554,228067
New Hanover,North Carolina,"New Hanover, North Carolina",34.2328,-77.8847,227938
Smith,Texas,"Smith, Texas",32.375,-95.2692,227449
Montgomery,Alabama,"Montgomery, Alabama",32.2203,-86.2076,226941
Richmond,Virginia,"Richmond, Virginia",37.5295,-77.4756,226622
Butte,California,"Butte, California",39.6669,-121.6007,225817
Williamson,Tennessee,"Williamson, Tennessee",35.8938,-86.8986,225389
Henry,Georgia,"Henry, Georgia",33.453,-84.1542,225356
Sussex,Delaware,"Sussex, Delaware",38.6606,-75.39,224384
Jefferson,Missouri,"Jefferson, Missouri",38.2611,-90.5377,223951
Linn,Iowa,"Linn, Iowa",42.079,-91.599,223861
Brazos,Texas,"Brazos, Texas",30.6608,-96.3024,222981
Whatcom,Washington,"Whatcom, Washington",48.8259,-121.7199,220821
Gaston,North Carolina,"Gaston, North Carolina",35.2944,-81.1803,219271
Canyon,Idaho,"Canyon, Idaho",43.6251,-116.7093,217633
Yolo,California,"Yolo, California",38.6866,-121.9016,217352
Jackson,Oregon,"Jackson, Oregon",42.4322,-122.7285,216574
Doña Ana,New Mexico,"Doña Ana, New Mexico",32.3526,-106.8328,216069
